contactType,Federal Agency,Sub Agency,unique id,is_cfo
Federal Organization,Executive Office of the President,Council on Environmental Quality,ceq.eop.gov,N
Federal Organization,US Equal Employment Opportunity Commission,,eeoc.gov,N
Federal Organization,Department of Education,Federal Student Aid,fsa.ed.gov,Y
Federal Organization,Department of Commerce,National Oceanic and Atmospheric Administration,ngdc.noaa.gov,N
Federal Organization,Department of Labor,Office of the Assistant Secretary for Policy,oasp.dol.gov,Y
Federal Organization,Department of the Interior,Office of Surface Mining,osm.doi.gov,Y
Federal Organization,Department of the Interior,US Bureau of Reclamation,usbr.gov,Y
Federal Organization,Department of Health and Human Services,Administration for Children and Families,acf.hhs.gov,Y
Federal Organization,Consumer Financial Protection Bureau,,cfpb.gov,N
Federal Organization,Commodity Futures Trading Commission,,cftc.gov,N
Federal Organization,Department of Energy,Energy Information Administration,eia.doe.gov,Y
Federal Organization,Department of Agriculture,Farm Service Agency,fsa.usda.gov,Y
Federal Organization,Department of Agriculture,Natural Resources Conservation Service,ftw.usda.gov,N
Federal Organization,Department of the Treasury,Office of the Comptroller of the Currency,occ.treas.gov,Y
Federal Organization,Department of Transportation,Office of the Secretary of Transportation,ost.dot.gov,Y
Federal Organization,Department of Homeland Security,United States Coast Guard,uscg.mil,Y
Federal Organization,Department of Justice,Civil Division,civ.usdoj.gov,Y
Federal Organization,Department of Justice,Executive Office for Immigration Review,eoir.doj.gov,Y
Federal Organization,Department of Agriculture,Food Safety and Inspection Service,fsis.usda.gov,Y
Federal Organization,Department of the Interior,US Geological Survey,ngp.usgs.gov,N
Federal Organization,Department of Agriculture,Office of the Chief Economist,oce.usda.gov,Y
Federal Organization,Department of Energy,Office of Scientific and Technical Information,osti.gov,Y
Federal Organization,Department of Homeland Security,U.S. Citizenship and Immigration Services,uscis.dhs.gov,Y
Federal Organization,Department of Health and Human Services,Agency for Healthcare Research and Quality,ahrq.hhs.gov,Y
Federal Organization,Department of Justice,Criminal Justice Information Services,cjis.doj.gov,Y
Federal Organization,Environmental Protection Agency,,epa.gov,Y
Federal Organization,Department of Transportation,Federal Transit Administration,fta.dot.gov,Y
Federal Organization,Department of Commerce,National Oceanic and Atmospheric Administration,nos.noaa.gov,N
Federal Organization,General Services Administration,Office of the Chief Financial Officer,ocfo.gsa.gov,Y
